epoch,step,train_loss,val_acc,val_loss
0,9,2.173971176147461,,
0,10,,0.1733333319425583,2.0582449436187744
1,19,1.8374961614608765,,
1,21,,0.24666666984558105,1.9628080129623413
2,29,1.8090194463729858,,
2,32,,0.3733333349227905,1.8244516849517822
3,39,1.524379014968872,,
3,43,,0.4399999976158142,1.7002477645874023
4,49,1.4057660102844238,,
4,54,,0.47999998927116394,1.601952075958252
5,59,1.481779932975769,,
5,65,,0.4866666793823242,1.5174431800842285
6,69,1.2844284772872925,,
6,76,,0.5,1.453983187675476
7,79,1.284602165222168,,
7,87,,0.5133333206176758,1.410212516784668
8,89,1.2503998279571533,,
8,98,,0.5400000214576721,1.3733506202697754
9,99,1.3500447273254395,,
9,109,1.226677656173706,,
9,109,,0.5266666412353516,1.340206503868103
10,119,1.0554808378219604,,
10,120,,0.5266666412353516,1.3121089935302734
11,129,0.9945740103721619,,
11,131,,0.5266666412353516,1.2724287509918213
12,139,0.9437020421028137,,
12,142,,0.54666668176651,1.2452659606933594
13,149,0.9205278754234314,,
13,153,,0.54666668176651,1.2373706102371216
14,159,0.8257014751434326,,
14,164,,0.5333333611488342,1.2334812879562378
15,169,0.8209728598594666,,
15,175,,0.54666668176651,1.2242765426635742
16,179,0.8690274357795715,,
16,186,,0.5333333611488342,1.213703989982605
17,189,0.7508765459060669,,
17,197,,0.5666666626930237,1.2071629762649536
18,199,0.8560651540756226,,
18,208,,0.5600000023841858,1.1991440057754517
19,209,0.8419780731201172,,
19,219,0.7958150506019592,,
19,219,,0.5533333420753479,1.2078585624694824
20,229,0.754451334476471,,
20,230,,0.5400000214576721,1.2160488367080688
21,239,0.6841875314712524,,
21,241,,0.5266666412353516,1.2337539196014404
22,249,0.6958338618278503,,
22,252,,0.5133333206176758,1.2266370058059692
23,259,0.56201171875,,
23,263,,0.5333333611488342,1.2307074069976807
