epoch,step,train_loss,val_acc,val_loss
0,9,2.1664891242980957,,
0,10,,0.08666666597127914,2.086946725845337
1,19,2.2192916870117188,,
1,21,,0.1066666692495346,2.091498613357544
2,29,2.1648952960968018,,
2,32,,0.13333334028720856,2.078812599182129
3,39,1.9660526514053345,,
3,43,,0.1733333319425583,2.0607051849365234
4,49,2.1296682357788086,,
4,54,,0.18666666746139526,2.043205976486206
5,59,2.093086004257202,,
5,65,,0.20666666328907013,2.02872896194458
6,69,2.1049468517303467,,
6,76,,0.2266666740179062,2.0176444053649902
7,79,1.934612512588501,,
7,87,,0.273333340883255,2.0015361309051514
8,89,1.8445934057235718,,
8,98,,0.2800000011920929,1.9853408336639404
9,99,2.052971124649048,,
9,109,1.9935133457183838,,
9,109,,0.2933333218097687,1.9673104286193848
10,119,1.795123815536499,,
10,120,,0.30666667222976685,1.9493945837020874
11,129,1.9042555093765259,,
11,131,,0.31333333253860474,1.9276139736175537
12,139,1.8578044176101685,,
12,142,,0.30666667222976685,1.9053065776824951
13,149,1.923216462135315,,
13,153,,0.31333333253860474,1.8948380947113037
14,159,1.9080785512924194,,
14,164,,0.3266666531562805,1.8774008750915527
15,169,1.725429654121399,,
15,175,,0.3266666531562805,1.8601183891296387
16,179,1.8758575916290283,,
16,186,,0.3400000035762787,1.8424572944641113
17,189,1.7821025848388672,,
17,197,,0.3333333432674408,1.8281571865081787
18,199,1.7396355867385864,,
18,208,,0.35333332419395447,1.8083524703979492
19,209,1.7455997467041016,,
19,219,1.731092929840088,,
19,219,,0.35333332419395447,1.7954374551773071
20,229,1.7743360996246338,,
20,230,,0.36000001430511475,1.7880876064300537
21,239,1.7382901906967163,,
21,241,,0.36666667461395264,1.7705366611480713
22,249,1.7390128374099731,,
22,252,,0.36666667461395264,1.7586779594421387
23,259,1.7671900987625122,,
23,263,,0.3733333349227905,1.7427552938461304
24,269,1.631775975227356,,
24,274,,0.3733333349227905,1.7356282472610474
25,279,1.821419358253479,,
25,285,,0.3933333456516266,1.7204868793487549
26,289,1.5266155004501343,,
26,296,,0.40666666626930237,1.7102622985839844
27,299,1.575899362564087,,
27,307,,0.3933333456516266,1.6966630220413208
28,309,1.5940828323364258,,
28,318,,0.40666666626930237,1.6841235160827637
29,319,1.6289608478546143,,
29,329,1.6626594066619873,,
29,329,,0.4000000059604645,1.6750949621200562
30,339,1.6960855722427368,,
30,340,,0.40666666626930237,1.666624903678894
31,349,1.7067667245864868,,
31,351,,0.41999998688697815,1.657334804534912
32,359,1.4873716831207275,,
32,362,,0.41333332657814026,1.6475632190704346
33,369,1.566277027130127,,
33,373,,0.4333333373069763,1.6313550472259521
34,379,1.488608479499817,,
34,384,,0.4333333373069763,1.6221164464950562
35,389,1.5851829051971436,,
35,395,,0.4399999976158142,1.6090909242630005
36,399,1.8006795644760132,,
36,406,,0.4333333373069763,1.6024396419525146
37,409,1.5147665739059448,,
37,417,,0.4333333373069763,1.5966068506240845
38,419,1.4456584453582764,,
38,428,,0.4533333480358124,1.5881649255752563
39,429,1.5134555101394653,,
39,439,1.5700017213821411,,
39,439,,0.4399999976158142,1.5809978246688843
40,449,1.3983935117721558,,
40,450,,0.46666666865348816,1.5737298727035522
41,459,1.4278391599655151,,
41,461,,0.46000000834465027,1.5633008480072021
42,469,1.4145056009292603,,
42,472,,0.46000000834465027,1.554993987083435
43,479,1.4086334705352783,,
43,483,,0.46666666865348816,1.5522350072860718
44,489,1.3527244329452515,,
44,494,,0.47333332896232605,1.538604497909546
45,499,1.4674437046051025,,
45,505,,0.4933333396911621,1.5364785194396973
46,509,1.3708982467651367,,
46,516,,0.4933333396911621,1.526854157447815
47,519,1.3902372121810913,,
47,527,,0.4933333396911621,1.5146814584732056
48,529,1.41348397731781,,
48,538,,0.5,1.5050503015518188
49,539,1.3028713464736938,,
49,549,1.2903085947036743,,
49,549,,0.4866666793823242,1.5047001838684082
50,559,1.3925241231918335,,
50,560,,0.4866666793823242,1.4956002235412598
51,569,1.3763521909713745,,
51,571,,0.5066666603088379,1.48711097240448
52,579,1.3428523540496826,,
52,582,,0.4933333396911621,1.482494592666626
53,589,1.3200790882110596,,
53,593,,0.5,1.476556658744812
54,599,1.3604962825775146,,
54,604,,0.5,1.4696959257125854
55,609,1.3475189208984375,,
55,615,,0.5,1.4617795944213867
56,619,1.23605215549469,,
56,626,,0.5066666603088379,1.4614664316177368
57,629,1.3573603630065918,,
57,637,,0.5,1.456176996231079
58,639,1.2544959783554077,,
58,648,,0.4933333396911621,1.4495412111282349
59,649,1.320211410522461,,
59,659,1.3128663301467896,,
59,659,,0.5066666603088379,1.443387746810913
60,669,1.538873314857483,,
60,670,,0.4933333396911621,1.4335402250289917
61,679,1.235994577407837,,
61,681,,0.5066666603088379,1.427018642425537
62,689,1.227217435836792,,
62,692,,0.4933333396911621,1.421797752380371
63,699,1.310115098953247,,
63,703,,0.4933333396911621,1.4148105382919312
64,709,1.2399636507034302,,
64,714,,0.4866666793823242,1.4144761562347412
65,719,1.136025071144104,,
65,725,,0.4866666793823242,1.4120099544525146
66,729,1.2799843549728394,,
66,736,,0.4866666793823242,1.410695195198059
67,739,1.146050214767456,,
67,747,,0.5133333206176758,1.4060229063034058
68,749,1.169663906097412,,
68,758,,0.5,1.3952659368515015
69,759,1.145018458366394,,
69,769,1.1922515630722046,,
69,769,,0.5066666603088379,1.3931405544281006
70,779,1.2293425798416138,,
70,780,,0.4866666793823242,1.389647364616394
71,789,1.0829716920852661,,
71,791,,0.4866666793823242,1.3807988166809082
72,799,1.0584335327148438,,
72,802,,0.47999998927116394,1.3761745691299438
73,809,1.1270729303359985,,
73,813,,0.47999998927116394,1.375882625579834
74,819,1.1527155637741089,,
74,824,,0.4866666793823242,1.3691959381103516
75,829,1.1881085634231567,,
75,835,,0.4866666793823242,1.3697673082351685
76,839,1.088074803352356,,
76,846,,0.4866666793823242,1.3621718883514404
77,849,1.204539179801941,,
77,857,,0.4866666793823242,1.3639376163482666
78,859,1.02354896068573,,
78,868,,0.4866666793823242,1.3590779304504395
79,869,1.1222110986709595,,
